axis:latitude,axis:longitude,axis:reftime,axis:time,data:VHM0,data:VHM0_SW1,data:VHM0_SW2,data:VHM0_WW,data:VMDR,data:VMDR_SW1,data:VMDR_SW2,data:VMDR_WW,data:VPED,data:VSDX,data:VSDY,data:VTM01_SW1,data:VTM01_SW2,data:VTM01_WW,data:VTM02,data:VTM10,data:VTPK
49.5,-50.5,"2021-09-03T00:00:00","2021-09-05T00:00:00",1.9900000095367432,1.5799999237060547,0.9199999570846558,0.25999999046325684,175.80999755859375,173.24000549316406,355.3299865722656,228.77999877929688,187.9600067138672,0.009999999776482582,0.05999999865889549,5.87999963760376,6.909999847412109,2.1599998474121094,5.949999809265137,7.480000019073486,7.839999675750732
49.5,-50.5,"2021-09-03T00:00:00","2021-09-05T03:00:00",1.959999918937683,1.6100000143051147,0.8999999761581421,0.5099999904632568,175.4199981689453,175.63999938964844,357.67999267578125,208.63999938964844,187.9600067138672,0.019999999552965164,0.07000000029802322,6.289999961853027,6.75,2.879999876022339,5.759999752044678,7.460000038146973,8.029999732971191
49.5,-50.5,"2021-09-03T00:00:00","2021-09-05T06:00:00",1.9299999475479126,1.2799999713897705,0.85999995470047,0.5699999928474426,178.99000549316406,189.22000122070312,358.239990234375,231.2899932861328,202.5,0.04999999701976776,0.07000000029802322,6.789999961853027,6.639999866485596,2.919999837875366,5.509999752044678,7.299999713897705,8.130000114440918
49.5,-50.5,"2021-09-03T00:00:00","2021-09-05T09:00:00",1.8899999856948853,1.2200000286102295,0.8299999833106995,0.3700000047683716,181.0,199.5800018310547,357.7900085449219,230.9199981689453,202.5,0.03999999910593033,0.05999999865889549,6.199999809265137,6.549999713897705,2.4600000381469727,5.650000095367432,7.299999713897705,8.1899995803833
49.5,-50.5,"2021-09-03T00:00:00","2021-09-05T12:00:00",1.8899999856948853,1.1999999284744263,0.8700000047683716,0.4699999988079071,185.42999267578125,199.35000610351562,355.3899841308594,234.22000122070312,202.5,0.03999999910593033,0.05999999865889549,6.279999732971191,6.480000019073486,2.759999990463257,5.599999904632568,7.269999980926514,8.239999771118164
49.5,-50.5,"2021-09-03T00:00:00","2021-09-05T15:00:00",1.8899999856948853,1.5399999618530273,1.0099999904632568,0.09999999403953552,191.80999755859375,185.9499969482422,352.92999267578125,327.07000732421875,202.5,0.029999999329447746,0.03999999910593033,5.789999961853027,6.409999847412109,1.8499999046325684,5.869999885559082,7.369999885559082,8.269999504089355
49.5,-50.5,"2021-09-03T00:00:00","2021-09-05T18:00:00",1.9299999475479126,1.399999976158142,1.1699999570846558,0.5099999904632568,226.60000610351562,185.1699981689453,354.04998779296875,341.66998291015625,202.5,0.029999999329447746,-0.03999999910593033,5.96999979019165,6.599999904632568,2.879999876022339,5.549999713897705,7.309999942779541,8.260000228881836
49.5,-50.5,"2021-09-03T00:00:00","2021-09-05T21:00:00",2.0,1.2400000095367432,1.2200000286102295,0.9099999666213989,332.9700012207031,183.66000366210938,356.7799987792969,341.30999755859375,352.5,0.029999999329447746,-0.07999999821186066,6.190000057220459,6.699999809265137,3.6599998474121094,5.359999656677246,7.089999675750732,8.210000038146973
49.5,-50.5,"2021-09-03T00:00:00","2021-09-06T00:00:00",2.0299999713897705,1.209999918937683,1.0799999237060547,1.090000033378601,344.8800048828125,4.510004043579102,182.0800018310547,337.92999267578125,7.500003814697266,0.03999999910593033,-0.09999999403953552,6.690000057220459,6.37999963760376,4.0,5.279999732971191,6.929999828338623,8.139999389648438
49.5,-50.5,"2021-09-03T00:00:00","2021-09-06T03:00:00",2.0,1.25,0.9399999976158142,1.1399999856948853,348.3399963378906,8.660003662109375,181.61000061035156,333.2200012207031,7.500003814697266,0.03999999910593033,-0.09999999403953552,6.449999809265137,6.5,4.150000095367432,5.230000019073486,6.829999923706055,8.039999961853027
